Recording,Participant,Timeline,TOI,Interval,Media,AOI,Chin,Forehead,L_Cheek,L_Ear,L_Eye,Mouth,Nose,R_Cheek,R_Ear,R_Eye,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,Chin,Chin,,,,,,,,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,Forehead,,Forehead,,,,,,,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,L_Cheek,,,L_Cheek,,,,,,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,L_Ear,,,,L_Ear,,,,,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,L_Eye,,,,,L_Eye,,,,,,,725,242,192,325,3,1594,208,Mouth,Mouth,3.85798,325,325,325,325,1,2369,325,3.83397,725,242,192,325,3,1594,208,800,267,192,367,3,1561,242,0,,,0,,,0,1561,2694,158.95,259.53,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,Mouth,,,,,,Mouth,,,,,,631,316,307,325,2,6360,325,Mouth,Mouth,3.73551,325,325,325,325,1,6360,325,3.69774,656,656,656,656,1,6360,656,698,698,698,698,1,6318,698,0,,,0,,,1,6318,,279.09,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,Nose,,,,,,,Nose,,,,,1744,349,152,525,5,0,152,Mouth,Mouth,3.89413,1591,398,300,525,4,3027,342,3.88767,1761,440,152,742,4,0,152,1861,465,152,783,4,0,152,0,,,0,,,1,2994,152,138.64,135.77,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,R_Cheek,,,,,,,,R_Cheek,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,R_Ear,,,,,,,,,R_Ear,,,375,187,175,200,2,1044,200,Mouth,Mouth,3.62653,0,,,,0,,,,375,187,175,200,2,1044,200,408,204,175,233,2,1011,233,0,,,0,,,0,,5327,,293.05,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 2,1,Slide 2,R_Eye,,,,,,,,,,R_Eye,,2608,237,75,450,11,186,450,Mouth,Mouth,3.64431,2450,245,75,450,10,186,450,3.63491,2666,333,167,750,8,186,750,2908,363,208,783,8,152,783,0,,,0,,,3,152,1561,135.77,158.95,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,Chin,Chin,,,,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,Forehead,,Forehead,,,,,,,,,,500,250,225,275,2,792,275,R_Eye,R_Eye,3.25602,225,225,225,225,1,3291,225,3.57301,500,250,225,275,2,792,275,600,300,275,325,2,742,325,0,,,0,,,0,3241,3516,252.46,404.55,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,L_Cheek,,,L_Cheek,,,,,,,,,133,133,133,133,1,4891,133,R_Eye,R_Eye,3.78201,133,133,133,133,1,4891,133,3.78201,133,133,133,133,1,4891,133,183,183,183,183,1,4841,183,0,,,0,,,0,4841,5024,328.17,327.35,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,L_Ear,,,,L_Ear,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,L_Eye,,,,,L_Eye,,,,,,,158,158,158,158,1,3083,158,R_Eye,R_Eye,3.77763,158,158,158,158,1,3083,158,3.77763,158,158,158,158,1,3083,158,192,192,192,192,1,3050,192,0,,,0,,,0,3050,3241,223.9,252.46,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,Mouth,,,,,,Mouth,,,,,,283,142,117,167,2,2700,117,R_Eye,R_Eye,3.75189,283,142,117,167,2,2700,117,3.75189,283,142,117,167,2,2700,117,333,167,142,192,2,2675,142,0,,,0,,,0,2675,2816,150.2,241.32,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,Nose,,,,,,,Nose,,,,,2216,246,133,350,9,0,225,R_Eye,R_Eye,3.66862,1691,242,133,350,7,1100,350,3.6357,2283,326,133,617,7,0,225,2433,348,167,617,7,0,225,0,,,0,,,2,3516,225,404.55,115.39,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,R_Cheek,,,,,,,,R_Cheek,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,R_Ear,,,,,,,,,R_Ear,,,475,237,192,283,2,1783,192,R_Eye,R_Eye,3.554,192,192,192,192,1,1783,192,3.62781,475,237,192,283,2,1783,192,508,254,225,283,2,1750,225,0,,,0,,,0,1750,5608,206.26,333.14,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 3,1,Slide 3,R_Eye,,,,,,,,,,R_Eye,,2100,263,150,408,8,250,408,R_Eye,R_Eye,3.59698,1775,254,150,408,7,250,408,3.60115,2142,306,150,650,7,250,408,2417,345,217,675,7,225,433,0,,,0,,,1,225,1750,115.39,206.26,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,Chin,Chin,,,,,,,,,,,0,,,,0,,,Forehead,Forehead,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,Forehead,,Forehead,,,,,,,,,,946,236,200,279,4,2638,233,Forehead,Forehead,3.95759,667,222,200,233,3,2638,233,3.90272,979,326,200,546,3,2638,233,1104,368,242,587,3,2596,275,0,,,0,,,1,2596,2871,246.52,258.25,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,L_Cheek,,,L_Cheek,,,,,,,,,0,,,,0,,,Forehead,Forehead,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,L_Ear,,,,L_Ear,,,,,,,,0,,,,0,,,Forehead,Forehead,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,L_Eye,,,,,L_Eye,,,,,,,1192,298,142,417,4,638,142,Forehead,Forehead,3.6983,917,306,142,417,3,638,142,3.74375,1192,298,142,417,4,638,142,1325,331,183,458,4,597,183,0,,,0,,,0,597,780,141.52,177.16,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,Mouth,,,,,,Mouth,,,,,,358,179,133,225,2,1930,225,Forehead,Forehead,3.8531,358,179,133,225,2,1930,225,3.8531,358,179,133,225,2,1930,225,408,204,158,250,2,1905,250,0,,,0,,,0,1905,2155,190.62,114.99,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,Nose,,,,,,,Nose,,,,,1071,268,197,358,4,0,197,Forehead,Forehead,3.79851,875,292,242,358,3,1663,242,3.88495,1071,268,197,358,4,0,197,1180,295,197,392,4,0,197,0,,,0,,,0,1630,197,182.89,118.23,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,R_Cheek,,,,,,,,R_Cheek,,,,375,187,183,192,2,2188,192,Forehead,Forehead,3.81452,375,187,183,192,2,2188,192,3.81452,375,187,183,192,2,2188,192,433,217,208,225,2,2155,225,0,,,0,,,0,2155,2380,114.99,189.15,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,R_Ear,,,,,,,,,R_Ear,,,0,,,,0,,,Forehead,Forehead,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 4,1,Slide 4,R_Eye,,,,,,,,,,R_Eye,,2216,277,183,383,8,222,375,Forehead,Forehead,3.60132,1975,282,183,383,7,222,375,3.65064,2258,323,183,475,7,222,375,2491,356,217,517,7,197,400,0,,,0,,,0,197,597,118.23,141.52,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,Chin,Chin,,,,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,Forehead,,Forehead,,,,,,,,,,300,300,300,300,1,5001,300,R_Eye,R_Eye,3.78864,300,300,300,300,1,5001,300,3.78864,300,300,300,300,1,5001,300,333,333,333,333,1,4968,333,0,,,0,,,0,4968,5301,222.1,291.42,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,L_Cheek,,,L_Cheek,,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,L_Ear,,,,L_Ear,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,L_Eye,,,,,L_Eye,,,,,,,708,236,217,250,3,827,217,R_Eye,R_Eye,3.5743,458,229,217,242,2,827,217,3.3725,708,236,217,250,3,827,217,800,267,250,292,3,785,258,0,,,0,,,0,1893,1044,286.86,219.28,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,Mouth,,,,,,Mouth,,,,,,517,517,517,517,1,6218,517,R_Eye,R_Eye,3.93382,517,517,517,517,1,6218,517,3.93382,517,517,517,517,1,6218,517,533,533,533,533,1,6201,533,0,,,0,,,0,6201,6735,80.9,142.52,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,Nose,,,,,,,Nose,,,,,1427,204,133,358,7,0,160,R_Eye,R_Eye,3.92708,1267,211,133,358,6,2218,133,3.99093,1477,295,133,775,5,0,160,1593,319,160,808,5,0,160,0,,,0,,,2,2185,160,184.86,155.45,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,R_Cheek,,,,,,,,R_Cheek,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,R_Ear,,,,,,,,,R_Ear,,,833,278,150,375,3,1310,308,R_Eye,R_Eye,3.74649,683,342,308,375,2,1310,308,3.6961,833,278,150,375,3,1310,308,883,294,150,408,3,1293,325,0,,,0,,,0,3727,1618,249.63,253.43,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 5,1,Slide 5,R_Eye,,,,,,,,,,R_Eye,,1707,213,74,350,8,194,258,R_Eye,R_Eye,3.60223,1358,226,142,350,6,194,258,3.48979,1724,246,74,508,7,194,508,1982,283,99,542,7,160,542,0,,,0,,,1,160,1893,155.45,286.86,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,Chin,Chin,,,,,,,,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,Forehead,,Forehead,,,,,,,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,L_Cheek,,,L_Cheek,,,,,,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,L_Ear,,,,L_Ear,,,,,,,,242,242,242,242,1,6211,242,Mouth,Mouth,4.00571,242,242,242,242,1,6211,242,4.00571,242,242,242,242,1,6211,242,250,250,250,250,1,6203,250,0,,,0,,,0,,6453,,324.97,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,L_Eye,,,,,L_Eye,,,,,,,1225,175,100,258,7,587,217,Mouth,Mouth,3.75406,783,157,100,217,5,587,217,3.68297,1233,206,100,333,6,587,217,1375,229,117,333,6,553,250,0,,,0,,,1,553,803,272.96,290.8,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,Mouth,,,,,,Mouth,,,,,,805,268,167,458,3,2437,458,Mouth,Mouth,3.96436,625,312,167,458,2,2437,458,3.98282,805,268,167,458,3,2437,458,914,305,200,500,3,2395,500,0,,,0,,,0,2395,2895,231.32,185.06,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,Nose,,,,,,,Nose,,,,,412,206,187,225,2,0,187,Mouth,Mouth,3.58147,225,225,225,225,1,837,225,3.25499,412,206,187,225,2,0,187,445,223,187,258,2,0,187,0,,,0,,,0,803,187,290.8,150.32,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,R_Cheek,,,,,,,,R_Cheek,,,,0,,,,0,,,Mouth,Mouth,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,R_Ear,,,,,,,,,R_Ear,,,300,300,300,300,1,5645,300,Mouth,Mouth,3.99966,300,300,300,300,1,5645,300,3.99966,300,300,300,300,1,5645,300,350,350,350,350,1,5595,350,0,,,0,,,0,5595,5945,282.76,371.85,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 6,1,Slide 6,R_Eye,,,,,,,,,,R_Eye,,2875,287,217,342,10,212,342,Mouth,Mouth,3.87143,2008,287,217,342,7,212,342,3.79805,2908,363,275,600,8,212,342,3175,397,283,600,8,187,367,0,,,0,,,2,187,553,150.32,272.96,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,Chin,Chin,,,,,,,,,,,0,,,,0,,,R_Ear,R_Ear,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,Forehead,,Forehead,,,,,,,,,,470,235,178,292,2,0,178,R_Ear,R_Ear,3.96598,292,292,292,292,1,3486,292,3.96942,470,235,178,292,2,0,178,478,239,178,300,2,0,178,0,,,0,,,0,,178,,172.19,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,L_Cheek,,,L_Cheek,,,,,,,,,0,,,,0,,,R_Ear,R_Ear,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,L_Ear,,,,L_Ear,,,,,,,,833,278,183,408,3,1194,408,R_Ear,R_Ear,3.63276,833,278,183,408,3,1194,408,3.63276,850,425,408,442,2,1194,408,892,446,425,467,2,1178,425,0,,,0,,,1,1178,,53.31,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,L_Eye,,,,,L_Eye,,,,,,,600,200,158,258,3,994,183,R_Ear,R_Ear,3.70479,442,221,183,258,2,994,183,3.71654,600,200,158,258,3,994,183,683,228,183,275,3,953,225,0,,,0,,,0,953,1178,405.48,53.31,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,Mouth,,,,,,Mouth,,,,,,142,142,142,142,1,5436,142,R_Ear,R_Ear,3.78961,0,,,,0,,,,142,142,142,142,1,5436,142,142,142,142,142,1,5436,142,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,Nose,,,,,,,Nose,,,,,667,333,283,383,2,2328,283,R_Ear,R_Ear,3.8605,667,333,283,383,2,2328,283,3.8605,667,333,283,383,2,2328,283,725,362,317,408,2,2294,317,0,,,0,,,0,2294,2611,239.67,147.94,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,R_Cheek,,,,,,,,R_Cheek,,,,258,258,258,258,1,3811,258,R_Ear,R_Ear,3.94446,258,258,258,258,1,3811,258,3.94446,258,258,258,258,1,3811,258,292,292,292,292,1,3777,292,0,,,0,,,0,3777,4069,239.23,119.5,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,R_Ear,,,,,,,,,R_Ear,,,723,241,106,350,3,5077,267,R_Ear,R_Ear,3.74996,350,350,350,350,1,6544,350,3.73581,739,370,267,473,2,5077,267,764,382,267,498,2,5077,267,0,,,0,,,1,6519,,145.25,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 7,1,Slide 7,R_Eye,,,,,,,,,,R_Eye,,1750,292,150,475,6,203,442,R_Ear,R_Ear,3.67683,1750,292,150,475,6,203,442,3.67683,1766,353,150,475,5,203,442,1941,388,183,517,5,178,467,0,,,0,,,1,178,645,172.19,142.98,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,Chin,Chin,,,,,,,,,,,0,,,,0,,,Nose,Nose,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,Forehead,,Forehead,,,,,,,,,,833,208,167,242,4,2401,242,Nose,Nose,3.71547,833,208,167,242,4,2401,242,3.71547,900,450,242,658,2,2401,242,975,487,275,700,2,2367,275,0,,,0,,,2,2367,2642,198.74,309.76,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,L_Cheek,,,L_Cheek,,,,,,,,,0,,,,0,,,Nose,Nose,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,L_Ear,,,,L_Ear,,,,,,,,0,,,,0,,,Nose,Nose,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,L_Eye,,,,,L_Eye,,,,,,,1225,306,275,367,4,1434,275,Nose,Nose,3.81723,558,279,275,283,2,1434,275,3.74257,1225,306,275,367,4,1434,275,1267,317,292,367,4,1418,292,0,,,0,,,0,6567,4909,116.46,138.05,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,Mouth,,,,,,Mouth,,,,,,0,,,,0,,,Nose,Nose,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,Nose,,,,,,,Nose,,,,,1601,146,51,308,11,0,51,Nose,Nose,3.50479,1450,161,67,308,9,59,133,3.47081,1651,236,100,475,7,0,193,1842,263,125,517,7,0,193,0,,,0,,,4,2642,193,309.76,154.24,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,R_Cheek,,,,,,,,R_Cheek,,,,0,,,,0,,,Nose,Nose,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,R_Ear,,,,,,,,,R_Ear,,,200,200,200,200,1,1951,200,Nose,Nose,3.63267,200,200,200,200,1,1951,200,3.63267,200,200,200,200,1,1951,200,208,208,208,208,1,1942,208,0,,,0,,,0,1942,2151,39.86,234.56,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 8,1,Slide 8,R_Eye,,,,,,,,,,R_Eye,,1650,236,142,408,7,218,192,Nose,Nose,3.66845,1275,255,142,408,5,218,192,3.61047,1675,279,183,408,6,218,192,1858,310,217,433,6,193,217,0,,,0,,,1,193,2367,154.24,198.74,,,,,,,,,,,,,
